Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
Blaenau Gwent,16/10/2020,0,945,1352.7,1,15727
Blaenau Gwent,15/10/2020,2,945,1352.7,18,15726
Blaenau Gwent,14/10/2020,14,943,1349.8,74,15708
Blaenau Gwent,13/10/2020,21,929,1329.8,129,15634
Blaenau Gwent,12/10/2020,14,908,1299.7,127,15505
Blaenau Gwent,11/10/2020,12,894,1279.7,74,15378
Blaenau Gwent,10/10/2020,15,882,1262.5,84,15304
Blaenau Gwent,09/10/2020,18,867,1241,148,15220
Blaenau Gwent,08/10/2020,11,849,1215.3,237,15072
Blaenau Gwent,07/10/2020,24,838,1199.5,181,14835
Blaenau Gwent,06/10/2020,12,814,1165.2,182,14654
Blaenau Gwent,05/10/2020,6,802,1148,193,14472
Blaenau Gwent,04/10/2020,11,796,1139.4,81,14279
Blaenau Gwent,03/10/2020,15,785,1123.6,135,14198
Blaenau Gwent,02/10/2020,15,770,1102.2,193,14063
Blaenau Gwent,01/10/2020,6,755,1080.7,145,13870
Blaenau Gwent,30/09/2020,9,749,1072.1,209,13725
Blaenau Gwent,29/09/2020,8,740,1059.2,146,13516
Blaenau Gwent,28/09/2020,21,732,1047.8,229,13370
Blaenau Gwent,27/09/2020,15,711,1017.7,175,13141
Blaenau Gwent,26/09/2020,20,696,996.2,167,12966
Blaenau Gwent,25/09/2020,26,676,967.6,258,12799
Blaenau Gwent,24/09/2020,23,650,930.4,356,12541
Blaenau Gwent,23/09/2020,52,627,897.5,382,12185
Blaenau Gwent,22/09/2020,26,575,823.1,307,11803
Blaenau Gwent,21/09/2020,34,549,785.8,407,11496
Blaenau Gwent,20/09/2020,37,515,737.2,238,11089
Blaenau Gwent,19/09/2020,23,478,684.2,153,10851
Blaenau Gwent,18/09/2020,11,455,651.3,147,10698
Blaenau Gwent,17/09/2020,11,444,635.5,161,10551
Blaenau Gwent,16/09/2020,8,433,619.8,189,10390
Blaenau Gwent,15/09/2020,0,425,608.3,173,10201
Blaenau Gwent,14/09/2020,10,425,608.3,179,10028
Blaenau Gwent,13/09/2020,8,415,594,142,9849
Blaenau Gwent,12/09/2020,4,407,582.6,135,9707
Blaenau Gwent,11/09/2020,3,403,576.9,169,9572
Blaenau Gwent,10/09/2020,3,400,572.6,249,9403
Blaenau Gwent,09/09/2020,1,397,568.3,239,9154
Blaenau Gwent,08/09/2020,3,396,566.8,221,8915
Blaenau Gwent,07/09/2020,5,393,562.5,426,8694
Blaenau Gwent,06/09/2020,3,388,555.4,101,8268
Blaenau Gwent,05/09/2020,2,385,551.1,80,8167
Blaenau Gwent,04/09/2020,0,383,548.2,109,8087
Blaenau Gwent,03/09/2020,1,383,548.2,132,7978
Blaenau Gwent,02/09/2020,2,382,546.8,113,7846
Blaenau Gwent,01/09/2020,0,380,543.9,119,7733
Blaenau Gwent,31/08/2020,0,380,543.9,63,7614
Blaenau Gwent,30/08/2020,0,380,543.9,50,7551
Blaenau Gwent,29/08/2020,0,380,543.9,45,7501
Blaenau Gwent,28/08/2020,1,380,543.9,83,7456
Blaenau Gwent,27/08/2020,0,379,542.5,93,7373
Blaenau Gwent,26/08/2020,0,379,542.5,83,7280
Blaenau Gwent,25/08/2020,2,379,542.5,132,7197
Blaenau Gwent,24/08/2020,1,377,539.6,153,7065
Blaenau Gwent,23/08/2020,0,376,538.2,35,6912
Blaenau Gwent,22/08/2020,0,376,538.2,28,6877
Blaenau Gwent,21/08/2020,0,376,538.2,48,6849
Blaenau Gwent,20/08/2020,0,376,538.2,49,6801
Blaenau Gwent,19/08/2020,0,376,538.2,51,6752
Blaenau Gwent,18/08/2020,0,376,538.2,61,6701
Blaenau Gwent,17/08/2020,0,376,538.2,51,6640
Blaenau Gwent,16/08/2020,0,376,538.2,36,6589
Blaenau Gwent,15/08/2020,0,376,538.2,30,6553
Blaenau Gwent,14/08/2020,0,376,538.2,66,6523
Blaenau Gwent,13/08/2020,1,376,538.2,47,6457
Blaenau Gwent,12/08/2020,0,375,536.8,83,6410
Blaenau Gwent,11/08/2020,0,375,536.8,44,6327
Blaenau Gwent,10/08/2020,0,375,536.8,128,6283
Blaenau Gwent,09/08/2020,0,375,536.8,19,6155
Blaenau Gwent,08/08/2020,0,375,536.8,20,6136
Blaenau Gwent,07/08/2020,0,375,536.8,54,6116
Blaenau Gwent,06/08/2020,0,375,536.8,58,6062
Blaenau Gwent,05/08/2020,0,375,536.8,55,6004
Blaenau Gwent,04/08/2020,0,375,536.8,69,5949
Blaenau Gwent,03/08/2020,0,375,536.8,183,5880
Blaenau Gwent,02/08/2020,0,375,536.8,32,5697
Blaenau Gwent,01/08/2020,0,375,536.8,18,5665
Blaenau Gwent,31/07/2020,0,375,536.8,44,5647
Blaenau Gwent,30/07/2020,0,375,536.8,47,5603
Blaenau Gwent,29/07/2020,0,375,536.8,44,5556
Blaenau Gwent,28/07/2020,0,375,536.8,107,5512
Blaenau Gwent,27/07/2020,2,375,536.8,176,5405
Blaenau Gwent,26/07/2020,1,373,533.9,22,5229
Blaenau Gwent,25/07/2020,0,372,532.5,16,5207
Blaenau Gwent,24/07/2020,0,372,532.5,42,5191
Blaenau Gwent,23/07/2020,0,372,532.5,28,5149
Blaenau Gwent,22/07/2020,2,372,532.5,170,5121
Blaenau Gwent,21/07/2020,2,370,529.6,170,4951
Blaenau Gwent,20/07/2020,0,368,526.8,153,4781
Blaenau Gwent,19/07/2020,0,368,526.8,20,4628
Blaenau Gwent,18/07/2020,2,368,526.8,27,4608
Blaenau Gwent,17/07/2020,0,366,523.9,37,4581
Blaenau Gwent,16/07/2020,0,366,523.9,64,4544
Blaenau Gwent,15/07/2020,0,366,523.9,59,4480
Blaenau Gwent,14/07/2020,0,366,523.9,48,4421
Blaenau Gwent,13/07/2020,0,366,523.9,80,4373
Blaenau Gwent,12/07/2020,0,366,523.9,19,4293
Blaenau Gwent,11/07/2020,0,366,523.9,20,4274
Blaenau Gwent,10/07/2020,0,366,523.9,39,4254
Blaenau Gwent,09/07/2020,1,366,523.9,47,4215
Blaenau Gwent,08/07/2020,1,365,522.5,61,4168
Blaenau Gwent,07/07/2020,0,364,521,50,4107
Blaenau Gwent,06/07/2020,1,364,521,110,4057
Blaenau Gwent,05/07/2020,0,363,519.6,21,3947
Blaenau Gwent,04/07/2020,0,363,519.6,60,3926
Blaenau Gwent,03/07/2020,1,363,519.6,54,3866
